Time	Node	Type	Packets	
106.5	Router0	CacheMisses	45
107	Router0	CacheHits	66
107	Router0	CacheMisses	24
107.5	Router0	CacheHits	46
107.5	Router0	CacheMisses	43
108	Router0	CacheHits	46
108	Router0	CacheMisses	44
108.5	Router0	CacheHits	46
108.5	Router0	CacheMisses	45
109	Router0	CacheHits	46
109	Router0	CacheMisses	46
109.5	Router0	CacheHits	45
109.5	Router0	CacheMisses	43
110	Router0	CacheHits	44
110	Router0	CacheMisses	44
110.5	Router0	CacheHits	46
110.5	Router0	CacheMisses	43
111	Router0	CacheHits	46
111	Router0	CacheMisses	46
111.5	Router0	CacheHits	46
111.5	Router0	CacheMisses	44
112	Router0	CacheHits	46
112	Router0	CacheMisses	43
112.5	Router0	CacheHits	46
112.5	Router0	CacheMisses	45
113	Router0	CacheHits	45
113	Router0	CacheMisses	44
113.5	Router0	CacheHits	37
113.5	Router0	CacheMisses	50
114	Router0	CacheHits	46
114	Router0	CacheMisses	46
114.5	Router0	CacheHits	45
114.5	Router0	CacheMisses	45
115	Router0	CacheHits	53
115	Router0	CacheMisses	37
115.5	Router0	CacheHits	25
115.5	Router0	CacheMisses	62
116	Router0	CacheHits	46
116	Router0	CacheMisses	46
116.5	Router0	CacheHits	65
116.5	Router0	CacheMisses	24
117	Router0	CacheHits	46
117	Router0	CacheMisses	46
117.5	Router0	CacheHits	45
117.5	Router0	CacheMisses	45
118	Router0	CacheHits	46
118	Router0	CacheMisses	44
118.5	Router0	CacheHits	46
118.5	Router0	CacheMisses	44
119	Router0	CacheHits	46
119	Router0	CacheMisses	45
119.5	Router0	CacheHits	45
119.5	Router0	CacheMisses	44
120	Router0	CacheHits	46
120	Router0	CacheMisses	43
120.5	Router0	CacheHits	46
120.5	Router0	CacheMisses	46
121	Router0	CacheHits	46
121	Router0	CacheMisses	45
121.5	Router0	CacheHits	45
121.5	Router0	CacheMisses	42
122	Router0	CacheHits	46
122	Router0	CacheMisses	45
122.5	Router0	CacheHits	46
122.5	Router0	CacheMisses	44
123	Router0	CacheHits	46
123	Router0	CacheMisses	45
123.5	Router0	CacheHits	46
123.5	Router0	CacheMisses	46
124	Router0	CacheHits	45
124	Router0	CacheMisses	44
124.5	Router0	CacheHits	46
124.5	Router0	CacheMisses	43
125	Router0	CacheHits	46
125	Router0	CacheMisses	43
125.5	Router0	CacheHits	46
125.5	Router0	CacheMisses	45
126	Router0	CacheHits	46
126	Router0	CacheMisses	45
126.5	Router0	CacheHits	45
126.5	Router0	CacheMisses	45
127	Router0	CacheHits	46
127	Router0	CacheMisses	44
127.5	Router0	CacheHits	46
127.5	Router0	CacheMisses	44
128	Router0	CacheHits	46
128	Router0	CacheMisses	45
128.5	Router0	CacheHits	45
128.5	Router0	CacheMisses	46
129	Router0	CacheHits	46
129	Router0	CacheMisses	45
129.5	Router0	CacheHits	43
129.5	Router0	CacheMisses	46
130	Router0	CacheHits	0
130	Router0	CacheMisses	86
130.5	Router0	CacheHits	47
130.5	Router0	CacheMisses	46
131	Router0	CacheHits	46
131	Router0	CacheMisses	44
131.5	Router0	CacheHits	46
131.5	Router0	CacheMisses	43
132	Router0	CacheHits	46
132	Router0	CacheMisses	43
132.5	Router0	CacheHits	46
132.5	Router0	CacheMisses	46
133	Router0	CacheHits	45
133	Router0	CacheMisses	43
133.5	Router0	CacheHits	46
133.5	Router0	CacheMisses	46
134	Router0	CacheHits	46
134	Router0	CacheMisses	45
134.5	Router0	CacheHits	45
134.5	Router0	CacheMisses	42
135	Router0	CacheHits	46
135	Router0	CacheMisses	46
135.5	Router0	CacheHits	46
135.5	Router0	CacheMisses	45
136	Router0	CacheHits	46
136	Router0	CacheMisses	42
136.5	Router0	CacheHits	46
136.5	Router0	CacheMisses	45
137	Router0	CacheHits	46
137	Router0	CacheMisses	46
137.5	Router0	CacheHits	45
137.5	Router0	CacheMisses	44
138	Router0	CacheHits	46
138	Router0	CacheMisses	43
138.5	Router0	CacheHits	46
138.5	Router0	CacheMisses	43
139	Router0	CacheHits	46
139	Router0	CacheMisses	46
139.5	Router0	CacheHits	46
139.5	Router0	CacheMisses	45
140	Router0	CacheHits	45
140	Router0	CacheMisses	46
140.5	Router0	CacheHits	46
140.5	Router0	CacheMisses	45
141	Router0	CacheHits	45
141	Router0	CacheMisses	46
141.5	Router0	CacheHits	46
141.5	Router0	CacheMisses	43
142	Router0	CacheHits	45
142	Router0	CacheMisses	46
142.5	Router0	CacheHits	46
142.5	Router0	CacheMisses	45
143	Router0	CacheHits	45
143	Router0	CacheMisses	44
143.5	Router0	CacheHits	46
143.5	Router0	CacheMisses	45
144	Router0	CacheHits	46
144	Router0	CacheMisses	44
144.5	Router0	CacheHits	46
144.5	Router0	CacheMisses	45
145	Router0	CacheHits	45
145	Router0	CacheMisses	44
145.5	Router0	CacheHits	46
145.5	Router0	CacheMisses	45
146	Router0	CacheHits	46
146	Router0	CacheMisses	46
146.5	Router0	CacheHits	45
146.5	Router0	CacheMisses	45
147	Router0	CacheHits	46
147	Router0	CacheMisses	46
147.5	Router0	CacheHits	45
147.5	Router0	CacheMisses	43
148	Router0	CacheHits	46
148	Router0	CacheMisses	44
148.5	Router0	CacheHits	46
148.5	Router0	CacheMisses	45
149	Router0	CacheHits	46
149	Router0	CacheMisses	46
149.5	Router0	CacheHits	45
149.5	Router0	CacheMisses	43
150	Router0	CacheHits	46
150	Router0	CacheMisses	43
150.5	Router0	CacheHits	46
150.5	Router0	CacheMisses	44
151	Router0	CacheHits	46
151	Router0	CacheMisses	45
151.5	Router0	CacheHits	46
151.5	Router0	CacheMisses	44
152	Router0	CacheHits	45
152	Router0	CacheMisses	45
152.5	Router0	CacheHits	46
152.5	Router0	CacheMisses	43
153	Router0	CacheHits	46
153	Router0	CacheMisses	44
153.5	Router0	CacheHits	46
