Time	Node	Type	Packets	
77.5	RouterNet	CacheHits	0
77.5	RouterNet	CacheMisses	132
78	RouterNet	CacheHits	0
78	RouterNet	CacheMisses	133
78.5	RouterNet	CacheHits	0
78.5	RouterNet	CacheMisses	135
79	RouterNet	CacheHits	0
79	RouterNet	CacheMisses	128
79.5	RouterNet	CacheHits	0
79.5	RouterNet	CacheMisses	133
80	RouterNet	CacheHits	0
80	RouterNet	CacheMisses	134
80.5	RouterNet	CacheHits	0
80.5	RouterNet	CacheMisses	134
81	RouterNet	CacheHits	0
81	RouterNet	CacheMisses	125
81.5	RouterNet	CacheHits	0
81.5	RouterNet	CacheMisses	131
82	RouterNet	CacheHits	0
82	RouterNet	CacheMisses	129
82.5	RouterNet	CacheHits	0
82.5	RouterNet	CacheMisses	129
83	RouterNet	CacheHits	0
83	RouterNet	CacheMisses	133
83.5	RouterNet	CacheHits	0
83.5	RouterNet	CacheMisses	128
84	RouterNet	CacheHits	0
84	RouterNet	CacheMisses	129
84.5	RouterNet	CacheHits	0
84.5	RouterNet	CacheMisses	134
85	RouterNet	CacheHits	0
85	RouterNet	CacheMisses	130
85.5	RouterNet	CacheHits	0
85.5	RouterNet	CacheMisses	136
86	RouterNet	CacheHits	0
86	RouterNet	CacheMisses	129
86.5	RouterNet	CacheHits	0
86.5	RouterNet	CacheMisses	135
87	RouterNet	CacheHits	0
87	RouterNet	CacheMisses	132
87.5	RouterNet	CacheHits	0
87.5	RouterNet	CacheMisses	127
88	RouterNet	CacheHits	0
88	RouterNet	CacheMisses	134
88.5	RouterNet	CacheHits	0
88.5	RouterNet	CacheMisses	131
89	RouterNet	CacheHits	0
89	RouterNet	CacheMisses	130
89.5	RouterNet	CacheHits	0
89.5	RouterNet	CacheMisses	136
90	RouterNet	CacheHits	0
90	RouterNet	CacheMisses	132
90.5	RouterNet	CacheHits	0
90.5	RouterNet	CacheMisses	131
91	RouterNet	CacheHits	0
91	RouterNet	CacheMisses	131
91.5	RouterNet	CacheHits	0
91.5	RouterNet	CacheMisses	133
92	RouterNet	CacheHits	0
92	RouterNet	CacheMisses	132
92.5	RouterNet	CacheHits	0
92.5	RouterNet	CacheMisses	135
