Time	Node	Type	Packets	
77.5	Router1	CacheHits	0
77.5	Router1	CacheMisses	43
78	Router1	CacheHits	0
78	Router1	CacheMisses	44
78.5	Router1	CacheHits	0
78.5	Router1	CacheMisses	46
79	Router1	CacheHits	0
79	Router1	CacheMisses	45
79.5	Router1	CacheHits	0
79.5	Router1	CacheMisses	44
80	Router1	CacheHits	0
80	Router1	CacheMisses	44
80.5	Router1	CacheHits	0
80.5	Router1	CacheMisses	45
81	Router1	CacheHits	0
81	Router1	CacheMisses	44
81.5	Router1	CacheHits	0
81.5	Router1	CacheMisses	43
82	Router1	CacheHits	0
82	Router1	CacheMisses	44
82.5	Router1	CacheHits	0
82.5	Router1	CacheMisses	43
83	Router1	CacheHits	0
83	Router1	CacheMisses	43
83.5	Router1	CacheHits	0
83.5	Router1	CacheMisses	44
84	Router1	CacheHits	0
84	Router1	CacheMisses	45
84.5	Router1	CacheHits	2
84.5	Router1	CacheMisses	42
85	Router1	CacheHits	0
85	Router1	CacheMisses	45
85.5	Router1	CacheHits	0
85.5	Router1	CacheMisses	46
86	Router1	CacheHits	0
86	Router1	CacheMisses	46
86.5	Router1	CacheHits	0
86.5	Router1	CacheMisses	43
87	Router1	CacheHits	0
87	Router1	CacheMisses	45
87.5	Router1	CacheHits	0
87.5	Router1	CacheMisses	44
88	Router1	CacheHits	0
88	Router1	CacheMisses	43
88.5	Router1	CacheHits	0
88.5	Router1	CacheMisses	46
89	Router1	CacheHits	0
89	Router1	CacheMisses	44
89.5	Router1	CacheHits	0
89.5	Router1	CacheMisses	43
90	Router1	CacheHits	0
90	Router1	CacheMisses	46
90.5	Router1	CacheHits	0
90.5	Router1	CacheMisses	45
91	Router1	CacheHits	0
91	Router1	CacheMisses	44
91.5	Router1	CacheHits	0
91.5	Router1	CacheMisses	46
92	Router1	CacheHits	0
92	Router1	CacheMisses	43
92.5	Router1	CacheHits	0
92.5	Router1	CacheMisses	44
93	Router1	CacheHits	0
93	Router1	CacheMisses	45
93.5	Router1	CacheHits	0
